partner,imports,exports,total
Gabon,16649409,191612800,208262209
Other (LA),162576075,38615156,201191231
Belarus,148823087,47985729,196808816
"Congo, Republic of the",44073005,146481963,190554968
"Moldova, Republic of",164171993,26130230,190302223
Mauritius,125691038,62202294,187893332
Other (PY),68178665,117721927,185900592
Other (UG),49636034,134198011,183834045
Other (AW),123299280,57738628,181037908
Fiji,53344315,122066552,175410867
Other (TG),83132210,91956976,175089186
Syria,26203717,147010194,173213911
Cura�ao,1890357,170037220,171927577
Grenada,11378935,153414253,164793188
Greenland,16691091,147594649,164285740
Belize,26005492,137826920,163832412
Other (CY),18319931,141409434,159729365
Other (PM),14865504,134797657,149663161
Other (BJ),1971639,141786679,143758318
Other (MU),99840291,42093134,141933425
Other (ZM),10342688,128734660,139077348
Afghanistan,82655831,54345023,137000854
Other (MW),79367578,56425107,135792685
Saint Lucia,6341708,129377199,135718907
Other (PG),18578166,115804656,134382822
Kyrgyzstan,5356253,121007661,126363914
Other (AF),17940131,106835082,124775213
Other (BA),106992484,17648195,124640679
Faroe Islands,113099850,9335133,122434983
Other (BQ),16967296,105461538,122428834
Other (GA),24140634,96616806,120757440
Zimbabwe,63504065,56309768,119813833
Sierra Leone,23395726,95001777,118397503
Other (MV),4792495,113556102,118348597
Other (FJ),32837575,85488715,118326290
Other (GQ),96365548,21360269,117725817
Saint Vincent and the Grenadines,1179429,116361455,117540884
Antigua and Barbuda,2696601,114495275,117191876
Other (ML),7029733,108955343,115985076
French Polynesia,11422251,102841203,114263454
Other (MK),84428725,25435883,109864608
Other (GL),2829329,105144353,107973682
Other (CW),17270491,79488760,96759251
"Virgin Islands, British",4134256,90273708,94407964
Other (MN),12130748,82037000,94167748
Other (KY),11478219,80029055,91507274
Other (UM),22924803,64639184,87563987
Rwanda,25420033,61175853,86595886
Other (RW),8198135,74154996,82353131
Other (BZ),11156535,69189554,80346089
Other (TM),4707921,75414987,80122908
Other (GI),3663176,75620286,79283462
Brunei Darussalam,20689040,57539008,78228048
Other (SY),6061369,71352978,77414347
North Macedonia,53422673,23913413,77336086
Other (SL),36505918,40710456,77216374
Other (MR),1749383,75441075,77190458
Lesotho,71905093,1461231,73366324
Other (ZW),26663622,46517373,73180995
Other (PF),6435297,66341737,72777034
Saint Kitts and Nevis,15590550,56166031,71756581
Other (MD),54391765,12703117,67094882
Other (KG),1408584,64735834,66144418
Other (VG),9248514,55909526,65158040
Other (TD),1519709,61758261,63277970
Turks and Caicos Islands,1663650,61576624,63240274
Other (KN),19356785,43535150,62891935
Montenegro,27577915,34995532,62573447
Other (BN),26560979,35253549,61814528
Other (SC),9051100,52428185,61479285
Yemen,3561352,55169204,58730556
Other (YE),1555173,56538510,58093683
Other (AG),1529266,55123974,56653240
Chad,887954,53557476,54445430
Other (LC),1786126,51123921,52910047
Dominica,4828247,48033300,52861547
Other (FO),47903855,3902946,51806801
Malawi,10500481,40878232,51378713
Aruba,1617309,49580880,51198189
Gibraltar,419567,48433814,48853381
Other (NE),8389525,37674175,46063700
Other (GD),8163828,37701841,45865669
Djibouti,3109906,42664357,45774263
Other (VC),2338960,43235731,45574691
Gambia,2295711,42798740,45094451
Other (LS),39879994,2522301,42402295
Timor-Leste,39581241,2176655,41757896
Sint Maarten (Dutch part),990664,39769546,40760210
Other (UZ),2465852,37960684,40426536
Eswatini,19376149,19318846,38694995
Other (SX),156109,38399606,38555715
Other (TJ),1442431,34977957,36420388
Seychelles,9447270,26519007,35966277
Other (ER),33205714,2713521,35919235
Other (DM),1898892,33569907,35468799
Somalia,3707971,28498378,32206349
Other (ME),9420232,20256194,29676426
Other (SZ),9515856,19219142,28734998
Guam,1525104,24264281,25789385
Burundi,9456018,14222238,23678256
Other (TC),1550306,20599115,22149421
Other (SO),1789733,20032716,21822449
Eritrea,895266,19047847,19943113
Other (TL),18599008,1160602,19759610
Tajikistan,3524590,16152424,19677014
Other (SS),71903,18525781,18597684
Anguilla,3314716,15169827,18484543
Other (BI),1865455,16346256,18211711
Other (DJ),2072968,14223545,16296513
Cabo Verde,2432266,13736037,16168303
Other (AS),3547841,12209349,15757190
American Samoa,5020788,10697515,15718303
Other (AQ),920584,13476488,14397072
Other (GM),1975926,12052423,14028349
Other (GU),873504,12517977,13391481
Saint Martin (French part),10542,12459525,12470067
Comoros,3810678,8604453,12415131
Other (CV),629140,11607664,12236804
Other (CX),358574,11424863,11783437
Central African Republic,3329883,8130117,11460000
Other (AI),778761,9925663,10704424
Montserrat,8394444,2078566,10473010
South Sudan,376639,9509613,9886252
Saint Barth�lemy,1572637,6653784,8226421
Nauru,7412574,732076,8144650
